Date,Student ID,Coming Today?,Today's Bus Number,Today's Pickup Stop,Pickup Status,Boarded Bus?,Attendance Status,Last Updated
2026-07-29,CTU1283,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:35 AM
2026-07-29,CTU1284,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:27 AM
2026-07-29,CTU1285,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:03 AM
2026-07-29,CTU1286,NO,,,NOT COMING,NO,ABSENT,07:13 AM
2026-07-29,CTU1287,YES,BUS-07,Model Town,PICKED UP,YES,PRESENT,07:53 AM
2026-07-29,CTU1288,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:44 AM
2026-07-29,CTU1289,YES,BUS-07,Ambala Cantt,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1290,NO,,,NOT COMING,NO,ABSENT,07:55 AM
2026-07-29,CTU1291,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:50 AM
2026-07-29,CTU1292,YES,BUS-07,Ambala City,PICKED UP,YES,PRESENT,07:36 AM
2026-07-29,CTU1293,YES,BUS-07,Ambala City,PICKED UP,YES,PRESENT,07:37 AM
2026-07-29,CTU1294,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:50 AM
2026-07-29,CTU1295,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:33 AM
2026-07-29,CTU1296,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:21 AM
2026-07-29,CTU1297,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:23 AM
2026-07-29,CTU1298,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:30 AM
2026-07-29,CTU1299,YES,BUS-07,Ambala City,PICKED UP,YES,PRESENT,07:30 AM
2026-07-29,CTU1300,NO,,,NOT COMING,NO,ABSENT,07:09 AM
